,Year,Coal Prod,Gas Prod,Oil Prod
131,1841,0.0,0.0,0.0
132,1842,0.0,0.0,0.0
133,1843,0.0,0.0,0.0
134,1844,0.0,0.0,0.0
135,1845,0.0,0.0,0.0
136,1846,0.0,0.0,0.0
137,1847,0.0,0.0,0.0
138,1848,3.75002e-05,0.0,0.0
139,1849,0.000300002,0.0,0.0
140,1850,0.000637504,0.0,0.0
141,1851,0.00120001,0.0,0.0
142,1852,0.00176251,0.0,0.0
143,1853,0.00210001,0.0,0.0
144,1854,0.00236251,0.0,0.0
145,1855,0.00240001,0.0,0.0
146,1856,0.00240001,0.0,0.0
147,1857,0.00243751,0.0,0.0
148,1858,0.00270002,0.0,0.0
149,1859,0.00300002,0.0,0.0
