,Year,Coal Prod_x,Gas Prod_x,Oil Prod_x,Coal Prod_y,Gas Prod_y,Oil Prod_y,Coal EROI,Gas EROI,Oil EROI
216,1926,32.755280740299995,0.810703703303,5.0167996865,32.0488598687719,0.787571961192178,4.833969777586187,46.36794021876114,35.04723939161159,27.439710035981886
217,1927,33.239555358000004,0.7967650698979999,5.17460117,32.54774008612343,0.7741769217935702,4.991600080099023,48.04686555680785,35.27358976992657,28.276340719063555
218,1928,33.5112077308,0.8185164714475,5.208033869199999,32.83817219884681,0.7954585053985029,5.029164704661419,49.791141982575965,35.49820785181965,29.116443198216412
219,1929,33.621252825750005,1.0099834420145,5.6644176527,32.96951751389804,0.9817172900863207,5.475202125135801,51.587281238778004,35.731196965923864,29.936325657935825
220,1930,33.45010181365,1.0837761575462,6.0667200817,32.82396568213432,1.0536895075199235,5.869726791041251,53.42304992474686,36.02182883769604,30.796582266394758
221,1931,32.843597639,1.0800919190140001,6.396259266000001,32.249448733499165,1.0503680887419846,6.194352711445496,55.27839458243965,36.33757524281431,31.679304716545722
222,1932,32.5618502685935,1.0774169937675,6.599472245,31.991823385340652,1.0480245562022876,6.396814509134927,57.12335895945801,36.656265455257156,32.56462042679603
223,1933,32.405932843,1.1415693287342,6.697971292,31.85640291683035,1.1106978996743853,6.497599036975368,58.970278595884,36.97818220602477,33.42763842816768
224,1934,32.676307085299996,1.1996206478990001,6.783386504000001,32.139051662751925,1.167479627859228,6.585332556977349,60.82080461900954,37.32366447656501,34.2501959994981
225,1935,33.3621783153,1.306539534466,7.002839929,32.83003482157123,1.2718756033790066,6.80291994360857,62.69395136550277,37.69161469849123,35.028213488956375
226,1936,34.45823736702,1.7160857798909999,8.589717459000001,33.924894488422225,1.671041910946876,8.349605290231205,64.60803874913411,38.098099033628024,35.77376983034578
227,1937,35.572256612877,2.055029977135,9.31342848,35.037980607148626,2.001847539156675,9.059033114424157,66.58029975420982,38.641138978482765,36.61005560741393
228,1938,37.0202521183,2.156594268909,9.640515827,36.4806311268568,2.101726309453263,9.382907102518399,68.6041734946041,39.30516626281255,37.423095224744564
229,1939,38.28972552316999,2.2962119061349995,11.046233652999998,37.74806382533598,2.238832710673169,10.756820543616078,70.68937249261265,40.018196275729586,38.16770317182349
230,1940,39.236242828755,2.4331856108979997,11.921652855,38.69739277127667,2.373542424279,11.615251769995025,72.8147696826273,40.795701048657016,38.908650910313646
231,1941,39.5612372999,2.671733466152,13.047900654,39.033405513205906,2.6075712325433593,12.718296598921544,74.95046394928052,41.64028145354679,39.58659019196284
232,1942,39.295090831500005,3.239301136573,14.139673853999998,38.78510496142583,3.163247390323666,13.787947965898054,77.05133247277226,42.592262660583074,40.200833468082884
233,1943,38.8694502155,3.4640661909919994,14.831078615000001,38.37791213061731,3.3849436877057344,14.467009279291055,79.07718935914404,43.78104896983582,40.73696178262235
234,1944,38.525197218500004,3.521929524794,15.843898863000001,38.04965738528139,3.4438278885452203,15.45913361029672,81.0136071204576,45.09418360423975,41.17809171094332
235,1945,38.4308282742,3.72055235637,16.950888473,37.96702276772513,3.6404946468501516,16.542800855712937,82.85979303327447,46.47337999905684,41.53737519821884
236,1946,38.595152185657,4.438068558784,18.8932272927,38.139068889971234,4.345566825118155,18.441449047739027,84.62303388600345,47.97822033061703,41.81969252267143
237,1947,38.55081720814,5.520402519441,20.3492731204,38.104161350239565,5.409632397679683,19.86520650034758,86.30988830943122,49.83656632007788,42.03816639576682
238,1948,38.895775181510004,6.016249982001001,22.2023049325,38.45330826105426,5.901088102246276,21.676040144362652,87.90662845811781,52.24167923287314,42.188467541372944
239,1949,39.3712372725,6.227869549313,23.436640102900004,38.93096607028993,6.114586011924935,22.88231642014106,89.4249659638531,54.97594525124005,42.27970197169406
240,1950,39.9480128636,6.5113032789459995,25.313965292200002,39.50836907830923,6.398889757535615,24.715784500469674,90.86450030717334,57.92277652414566,42.31825167601195
241,1951,40.608162885400006,7.737112046297,27.29133272,40.16783858318692,7.610521123210552,26.64637120043711,92.22330605261298,61.11901120282832,42.31466822779752
242,1952,41.325552705700005,8.842979139535004,28.5880571744,40.88356171104342,8.707038565712317,27.911836819591098,93.4986305270978,65.05032964675736,42.27624467541937
243,1953,42.06973782915001,9.249230470179999,31.3850365154,41.62543425756935,9.116503010588325,30.641519002004344,94.68692245593118,69.68588488497143,42.211563211287206
244,1954,42.78806167570001,9.736610190120002,33.9525750378,42.34134811570972,9.606172859651972,33.14653998508354,95.78411203060678,74.6458866889085,42.122951009853374
245,1955,43.472286305,10.881082949252,36.3656335252,43.02312550393278,10.744939860619112,35.50009297563781,96.78557479127372,79.92387317282899,42.01493915402844
246,1956,44.21133789299999,11.737095659483,39.025483578999996,43.758759685031464,11.600300170073199,38.09389860238463,97.68773024103197,85.80031191176238,41.891490909167736
247,1957,45.079447534900005,12.325858538724999,42.2448133272,44.621740717723966,12.191879607194341,41.23306774136022,98.48978831696482,91.99848362654222,41.75438363008564
248,1958,46.0392356289,14.066105002897999,44.72772454094,45.57509479879976,13.92290038010913,43.652627497419694,99.19238438677606,98.22381937792747,41.60342995129353
249,1959,47.161633272699994,15.562982891928,47.1480937001,46.68904980722266,15.414523461194738,46.01041864802808,99.79535197039415,104.82987045727045,41.442495916768436
250,1960,48.35241140858,16.774055409747998,50.24139874414,47.87032999191985,16.623456295369454,49.02409334084266,100.29926426860553,111.38216502113701,41.27263265902728
251,1961,49.5724340567,18.902210132294798,53.52181560769,49.08017266048012,18.7412874389524,52.21932607137868,100.70347672470803,117.46143281405404,41.09193518687686
252,1962,50.819891181200006,21.328950519510997,57.59873701077,50.31676154649311,21.155657120216706,56.19045793047917,101.00754890100364,123.07999385071639,40.90008707569147
253,1963,52.0511955935,23.245605540343597,63.61707352066999,51.536915599381246,23.06395848291994,62.05379003896262,101.21178383128151,127.9712750101281,40.69452166870523
254,1964,53.322837575,25.7378278306437,67.57266847576001,52.796541407543515,25.542577088211576,65.9029142033328,101.31716868222956,131.81935960930528,40.46863037968708
255,1965,54.625656696,27.8335765486665,72.359231868126,54.0865468166385,27.626905108436116,70.56059537220739,101.32564582325274,134.6754854838136,40.2300476123555
256,1966,55.972720323999994,29.917531324670502,77.70884015690099,55.419846980251734,29.698465730914872,75.76495850832931,101.23967985963436,136.56882768201658,39.97611696884903
257,1967,57.31275921299999,31.8631659602177,82.456568655068,56.74565532399855,31.631731621213355,80.37984876188976,101.06218688416172,137.6769156093936,39.70519516181596
258,1968,58.70333509467001,34.5771066541729,89.747473284748,58.12094175092595,34.3268974785627,87.4707585933804,100.79671363907069,138.19280036332754,39.41972774411945
259,1969,60.214445237999996,36.5535270163038,97.62726822693601,59.61498031768774,36.289206735642665,95.13113178702297,100.44698730099786,138.29255524726955,39.11135091250744
260,1970,61.7730504893,39.670529202280704,101.545610041107,61.155421080639144,39.38327975900149,98.9270133921692,100.01636842914499,138.1048079655265,38.77863743631465
261,1971,63.446838185000004,41.5801697511762,105.05573826895349,62.80923724097196,41.27825049275279,102.32244381557379,99.50869549247413,137.71950145977337,38.435572917894795
262,1972,65.09159527970002,43.3233481259651,109.14882959495,64.43362119618806,43.00761048760279,106.28281557285122,98.92729350717181,137.21312527286432,38.0838435378696
263,1973,66.74566937009999,44.526738813824096,112.4127222597,66.06650977707528,44.2008514191905,109.4326771692201,98.27685577235243,136.63228325810456,37.72181924992196
264,1974,68.52324147409999,46.1034581632318,115.0758035694,67.82088512991501,45.764487039592304,111.99500310219679,97.56193140622213,136.00998712876887,37.35256625492118
265,1975,70.372414234,46.7970342918685,120.14738179568,69.64531989267998,46.45129843011818,116.8982505063108,96.78580926134082,135.35487483118908,36.97830930648701
266,1976,72.4292000842,48.080906342516194,128.17839177659,71.67435321085779,47.72392288012766,124.67544205348823,95.95217605327912,134.68664912601918,36.59155908840492
267,1977,74.35390725789999,48.745632075458005,130.30927032472002,73.57175247200288,48.38186008639516,126.70791685195695,95.06290647140551,134.0005100476194,36.18341584913718
268,1978,76.16783618369999,51.13896883227871,131.91004589106998,75.35860681312278,50.75535106218796,128.2226425774927,94.12391461937389,133.30709059745053,35.77315380863487
269,1979,78.02123952790001,51.88699572516399,132.25808800971,77.1835710252589,51.49564047503551,128.51803135921742,93.14094929187914,132.58285332348922,35.362589492405455
270,1980,79.836086829,52.991126300901,134.70669697461,78.96941228871579,52.5892270577327,130.853053567418,92.11772484146053,131.85176932196904,34.95567252621464
271,1981,81.6966877327,54.9168982849775,133.3762217289,80.79950131284158,54.49803439456623,129.5153959535408,91.05876540751953,131.1091730324529,34.54603483538197
272,1982,83.5093809012,57.3727905517826,126.8599753102,82.58116117520547,56.93262597885523,123.14466316365113,89.96725512563725,130.3439533314011,34.1451728162436
273,1983,85.25595702487999,58.6250303276961,122.05691652440001,84.29637942803886,58.17249953445098,118.44236579549843,88.84738170788576,129.54926206743133,33.76821233921146
274,1984,86.922891483,60.4079106184386,120.2708324692,85.93179012491731,59.938694617454615,116.67092817978772,87.70333202968844,128.74222211467242,33.409452807656535
275,1985,88.733448504356,62.30337060606149,120.2056508736,87.7080930670636,61.81630548543702,116.56963014920282,86.5392090167963,127.91589454441112,33.05967154340924
276,1986,90.527864765,64.82468381547679,124.94140489923998,89.46727141000605,64.31453117981846,121.12217148175839,85.3558664484712,127.0691931872944,32.7137389213633
277,1987,92.18115620200001,67.0465881959772,130.41405104971997,91.08579659369491,66.51529118567524,126.3837031780504,84.1560666497799,126.19417556644937,32.35801355174209
278,1988,93.8854775127,69.11150640777389,133.96251544775998,92.75356323612458,68.55991833006976,129.7749871289394,82.94398211563146,125.29550438333324,31.99083212062665
279,1989,95.71875987610001,70.97712186830293,140.33953229719,94.54747292844053,70.40645545816955,135.90093584834014,81.721016414782,124.3758535774238,31.617997696896953
280,1990,97.64450180079999,73.00579748236414,142.85636298034,96.43133680253484,72.41436243630213,138.28233566317653,80.48740438475598,123.43840286175634,31.232074728607145
281,1991,99.13865003957,76.9003652810794,144.46441416572998,97.88759046473518,76.27251252672332,139.78071249506985,79.24374828645472,122.48152890552937,30.844068286989984
282,1992,100.2494150729,81.3302004727125,149.36287793646,98.96411851355082,80.66071488520154,144.45875544224222,77.997108405598,121.48163006030812,30.45659608065806
283,1993,101.180359383,83.2589429613291,153.28399870437,99.8621089867404,82.56761305739478,148.18491767525066,76.75352093205409,120.43301249882033,30.061102741653045
284,1994,102.14595951199999,84.92381700337737,153.91684751783,100.79332212917947,84.21237696122577,148.7275720238168,75.51614409695244,119.36890246793752,29.66056585267099
285,1995,102.2224353199,86.36207682865553,153.775515314431,100.84635669523576,85.63200885253576,148.5207020693725,74.28531588799417,118.29319961089166,29.263745092946557
286,1996,101.759238569,88.38194116059208,154.875576388316,100.36665314963764,87.62788835328749,149.51147242831314,73.07217004727337,117.20921970507325,28.87259037914575
287,1997,100.63164647503001,89.32020026375054,154.789320790944,99.23171073706146,88.55092915146881,149.3550508461056,71.88304701832735,116.11017083277511,28.483921918153214
288,1998,99.876835403,90.49729295550253,157.348999592205,98.46465457749241,89.71042787915681,151.7495300810586,70.72524537861516,115.00992441522206,28.100697624834506
289,1999,96.27872693770001,92.36484361643613,160.30841895254702,94.8952902994234,91.55395571823364,154.52454002882104,69.59388256309131,113.9058109279731,27.716420254744286
290,2000,97.16432415749999,95.37852836541902,162.706582209277,95.74627887556733,94.53289788174934,156.75324586023288,68.51990228765722,112.7898416711692,27.330319113483597
291,2001,100.3528903281,98.89006853085596,162.012897494514,98.86513265813565,98.00434517234052,155.99993544821086,67.45244360293296,111.64893369935055,26.94394147957781
292,2002,104.74375318099999,100.40205303875948,161.435300951636,103.16550440448759,99.49325792661692,155.35822598198246,66.36707389848983,110.47820537024566,26.56463870493265
293,2003,111.676181532333,102.80412334984902,165.860091792711,109.96473611517692,101.86357335128757,159.52762021103734,65.25255226538627,109.30213546019458,26.191999388155853
294,2004,120.21782459599999,104.39597998361417,170.716945904793,118.34190155287193,103.43034210629789,164.1037497543677,64.084624919122,108.11089999260756,25.814589802211405
295,2005,128.8868115549,106.41406411383444,172.78691192308,126.83612285995093,105.41874486307441,165.99278555834405,62.850500845084085,106.91450409763023,25.43180721805656
296,2006,137.5635492715,109.75646530475835,172.89273376298098,135.3286906494804,108.71817268431471,165.99087302441038,61.553580130802885,105.7086057857755,25.050162602786383
297,2007,145.6319324167,111.55568710645,171.034154981471,143.2127451714154,110.48795480051011,164.10240336610192,60.19870214699584,104.47907821637955,24.674016680322755
298,2008,152.9672253,115.28624421834,168.404925316534,150.3655964264156,114.16960606296763,161.47681178180048,58.79671264919886,103.2440488117615,24.30747193622765
299,2009,159.2496195198,120.33539941985,167.153341663634,156.4732601405098,119.15544459131908,160.17462753148982,57.359151955505325,101.98305605450284,23.95188261025342
300,2010,167.3668741341,120.13585188169,168.671366550694,164.3728229816172,118.9426460730875,161.52551019628035,55.8998045158018,100.68326102300398,23.604080208877193
301,2011,177.4606976874,122.207731093657,175.355832295809,174.19891304867045,120.97830360721036,167.81631750165067,54.40601307035418,99.40214647947288,23.258238372537665
302,2012,188.1635314055,124.63118813992601,177.939368783406,184.6042548241537,123.36094049593214,170.17046876475925,52.86566725149708,98.11566172094217,22.90406213959756
303,2013,199.714913015,127.707444166899,178.508362955302,195.82031626551208,126.38843597773985,170.59231267832465,51.27999786916553,96.82081219549629,22.550180545778908
304,2014,211.96744941000003,130.36875779315,179.63286034306572,207.69812633491003,129.0038075117534,171.54153104674137,49.648959725431745,95.51172637567244,22.20066119724829
305,2015,221.50542189249998,133.915338547448,181.456490406233,216.88827789936568,132.493635623631,173.15352080606056,47.97455358158158,94.19361549029499,21.85440862055722
306,2016,230.48918898,141.361337426586,184.2809507400118,225.5094182097731,139.83900818321,175.71377764987494,46.285100181327614,92.85858367477618,21.51012344458982
307,2017,238.97840140899999,144.627673592377,183.22580290323359,233.6189700072795,143.0465221874852,174.5692053210048,44.5902528638173,91.46984478837786,21.166029859049846
308,2018,247.491047449,147.887170575523,182.73491449544528,241.72182098397076,146.24526612085967,173.96196704652715,42.89848022940187,90.07050937434009,20.82936385512942
