,Year,Coal Prod_x,Gas Prod_x,Oil Prod_x,Coal Prod_y,Gas Prod_y,Oil Prod_y,Coal EROI,Gas EROI,Oil EROI
0,1710,3.75001e-05,0.0,0.0,3.536537593714109e-05,0.0,0.0,17.56672005176089,31.135738420804223,18.732729360695473
1,1711,0.0003,0.0,0.0,0.00028292225348698527,0.0,0.0,17.56672051382039,31.135738420804223,18.732729360695473
2,1712,0.000637501,0.0,0.0,0.0006012107393703817,0.0,0.0,17.566724210288616,31.135738420804223,18.732729360695473
3,1713,0.0012,0.0,0.0,0.0011316890588677088,0.0,0.0,17.566732065308237,31.135738420804223,18.732729360695473
4,1714,0.0017625,0.0,0.0,0.0016621683896611962,0.0,0.0,17.56674685124979,31.135738420804223,18.732729360695473
5,1715,0.0021,0.0,0.0,0.001980456101425483,0.0,0.0,17.566768568209106,31.135738420804223,18.732729360695473
6,1716,0.0023625,0.0,0.0,0.0022280133122013586,0.0,0.0,17.566794443902328,31.135738420804223,18.732729360695473
7,1717,0.0024,0.0,0.0,0.002263378829269563,0.0,0.0,17.566823554274567,31.135738420804223,18.732729360695473
8,1718,0.0024,0.0,0.0,0.0022633790592625942,0.0,0.0,17.566853126951866,31.135738420804223,18.732729360695473
9,1719,0.0024,0.0,0.0,0.002263379289256698,0.0,0.0,17.566882699866678,31.135738420804223,18.732729360695473
10,1720,0.0024,0.0,0.0,0.0022633795192518744,0.0,0.0,17.566912273019007,31.135738420804223,18.732729360695473
11,1721,0.0024,0.0,0.0,0.002263379749248124,0.0,0.0,17.566941846408856,31.135738420804223,18.732729360695473
12,1722,0.0024,0.0,0.0,0.0022633799792454463,0.0,0.0,17.56697142003622,31.135738420804223,18.732729360695473
13,1723,0.0024375,0.0,0.0,0.0022987455250132764,0.0,0.0,17.567000993901114,31.135738420804223,18.732729360695473
14,1724,0.00270001,0.0,0.0,0.002546312428943537,0.0,0.0,17.567031030100754,31.135738420804223,18.732729360695473
15,1725,0.00300001,0.0,0.0,0.002829235307738824,0.0,0.0,17.567064301377282,31.135738420804223,18.732729360695473
16,1726,0.00330001,0.0,0.0,0.0031121582907556924,0.0,0.0,17.5671012698012,31.135738420804223,18.732729360695473
17,1727,0.00356251,0.0,0.0,0.0033597160558807185,0.0,0.0,17.567141935483853,31.135738420804223,18.732729360695473
18,1728,0.00360001,0.0,0.0,0.0033950819008997865,0.0,0.0,17.567185836430994,31.135738420804223,18.732729360695473
19,1729,0.00360001,0.0,0.0,0.003395082418417154,0.0,0.0,17.567230200023744,31.135738420804223,18.732729360695473
20,1730,0.00363751,0.0,0.0,0.0034304482849504174,0.0,0.0,17.56727456415093,31.135738420804223,18.732729360695473
21,1731,0.00390001,0.0,0.0,0.0036780062945280076,0.0,0.0,17.567319390946007,31.135738420804223,18.732729360695473
22,1732,0.00420001,0.0,0.0,0.0039609297843003965,0.0,0.0,17.56736745326168,31.135738420804223,18.732729360695473
23,1733,0.00450001,0.0,0.0,0.004243853421430107,0.0,0.0,17.567419213370567,31.135738420804223,18.732729360695473
24,1734,0.00476252,0.0,0.0,0.00449142127414012,0.0,0.0,17.567474671428556,31.135738420804223,18.732729360695473
25,1735,0.00483752,0.0,0.0,0.004562152940815578,0.0,0.0,17.5675333655656,31.135738420804223,18.732729360695473
26,1736,0.00510002,0.0,0.0,0.004809711589259706,0.0,0.0,17.567592984973494,31.135738420804223,18.732729360695473
27,1737,0.00540002,0.0,0.0,0.005092635790689162,0.0,0.0,17.567655840574773,31.135738420804223,18.732729360695473
28,1738,0.00570003,0.0,0.0,0.005375569613392715,0.0,0.0,17.567722394719073,31.135738420804223,18.732729360695473
29,1739,0.00600003,0.0,0.0,0.005658494206613046,0.0,0.0,17.567792647730094,31.135738420804223,18.732729360695473
30,1740,0.00630003,0.0,0.0,0.005941419011907174,0.0,0.0,17.567866599696195,31.135738420804223,18.732729360695473
31,1741,0.00660004,0.0,0.0,0.00622435347084424,0.0,0.0,17.5679442508401,31.135738420804223,18.732729360695473
32,1742,0.00690004,0.0,0.0,0.006507278732655113,0.0,0.0,17.568025601518954,31.135738420804223,18.732729360695473
33,1743,0.00720004,0.0,0.0,0.0067902042389052265,0.0,0.0,17.568110651854514,31.135738420804223,18.732729360695473
34,1744,0.00750005,0.0,0.0,0.007073139431174021,0.0,0.0,17.56819940210296,31.135738420804223,18.732729360695473
35,1745,0.00783755,0.0,0.0,0.007391430931297506,0.0,0.0,17.568291852654855,31.135738420804223,18.732729360695473
36,1746,0.00840006,0.0,0.0,0.007921925080779116,0.0,0.0,17.568388465932983,31.135738420804223,18.732729360695473
37,1747,0.00896258,0.0,0.0,0.00845242921461662,0.0,0.0,17.56849201607049,31.135738420804223,18.732729360695473
38,1748,0.00933758,0.0,0.0,0.00880608752653813,0.0,0.0,17.568602503775423,31.135738420804223,18.732729360695473
39,1749,0.0098626,0.0,0.0,0.009301227211472583,0.0,0.0,17.56871761787994,31.135738420804223,18.732729360695473
40,1750,0.010293851199999999,0.0,0.0,0.009707935928198682,0.0,0.0,17.56883920836018,31.135738420804223,18.732729360695473
41,1751,0.011250109000000001,0.0,0.0,0.010609769157387558,0.0,0.0,17.568966119774867,31.135738420804223,18.732729360695473
42,1752,0.01235637,0.0,0.0,0.011653068942686754,0.0,0.0,17.56910482575397,31.135738420804223,18.732729360695473
43,1753,0.01380024,0.0,0.0,0.013014763422314694,0.0,0.0,17.56925717717443,31.135738420804223,18.732729360695473
44,1754,0.01524401,0.0,0.0,0.014376365898335722,0.0,0.0,17.56942733865142,31.135738420804223,18.732729360695473
