,Year,Coal Prod,Gas Prod,Oil Prod
270,1980,2.244569142512878,0.40478744555318436,0.986903643594103
271,1981,2.366844519042116,0.4099702853989229,0.9814423937124762
272,1982,2.4925209873500864,0.42132274887045773,0.9677776559861927
273,1983,2.6230327961429376,0.4263348653168852,0.9589601179084343
274,1984,2.760294691667444,0.42718750597457034,1.029451527924718
275,1985,2.9082119901524623,0.4367500635442714,1.0345365944219664
276,1986,3.058801761539785,0.44001047953016964,1.0240800185200263
277,1987,3.2167825596215707,0.44989528263902606,1.0099924051686728
278,1988,3.3970764295881697,0.4627140217996114,1.0690687779190942
279,1989,3.5748512491918842,0.5105772513981982,1.0506366581415032
280,1990,3.7553628491350266,0.7637754385391369,1.0141988734814782
281,1991,3.943222061863183,0.8836790317516587,1.0156369072382256
282,1992,4.13434812166605,0.9029193797205846,1.2477162379456581
283,1993,4.339306121469794,0.9126914339224007,1.3099906398049073
284,1994,4.566170421804762,0.9764839547076334,1.2686373640373414
285,1995,4.81075306218454,1.0780674073837013,1.2830783986130916
286,1996,5.074407082317039,1.2461781783464383,1.3231577824475989
287,1997,5.345767885734116,1.3004852309684893,1.3326195843830297
288,1998,5.616507514399989,1.3151730550939362,1.336940768476115
289,1999,5.87766448510224,1.3329877689568006,1.3468832981054453
290,2000,6.12531490050034,1.3439171938805434,1.4605962383672675
291,2001,6.385800671557255,1.348254153647714,1.4916932990920395
292,2002,6.658742559169992,1.3612911250092314,1.466472322207749
293,2003,6.956997231675557,1.3501470167609553,1.3994921989407116
294,2004,7.258375016856801,1.3182568683867948,1.3436382265421623
295,2005,7.558044344351603,1.3421949709055059,1.2942553257537868
296,2006,7.874647563526602,1.6495287437689123,1.2342644488522734
297,2007,8.18267687661554,1.6909406539894607,1.1679596404519461
298,2008,8.516417190357549,1.7684232568008562,1.0983016974613886
299,2009,8.869495911572121,1.8432959669134723,1.0353566056740866
300,2010,9.203679614289612,1.8870619675568254,0.9659196386648216
301,2011,9.12528563062582,1.918249467752394,0.8988181745041148
302,2012,8.993368570391759,1.9948074470382806,0.8360295636212933
303,2013,9.172701928052502,2.4728911005902723,0.7781109718153925
304,2014,9.520651806184814,2.5862041085034253,0.7600934146908888
305,2015,9.983196443909303,2.817307324215012,0.7746990147087486
306,2016,10.487954519412831,3.5441544137886707,0.7495817931358993
307,2017,10.986319373286609,3.756844990189302,0.7584521945409936
308,2018,11.43548165882524,3.982074109493438,0.9240150096716631
309,2019,11.814356110995103,4.148472111347348,0.9597210318338412
310,2020,12.153590869107358,4.384709964837011,1.2211987039637142
311,2021,12.498361075366308,5.036397169304976,1.9821515578660838
312,2022,12.892958637046098,5.272438931774392,2.1522265317724196
313,2023,13.31513991021588,5.501242449902665,2.3404552116510766
314,2024,13.757049913600477,5.556240199339502,2.418113036403934
315,2025,14.208911983447031,5.715708675230502,2.51166434712008
316,2026,14.603930510379397,6.379103666115174,2.512397500634416
317,2027,14.981704525624895,6.566400089760996,2.508416617583126
318,2028,15.393145871348251,6.830179885514229,2.4958573900780063
319,2029,15.786333378793646,7.133965007907391,2.416998771849133
320,2030,16.148761021057354,7.549339472941457,2.3728174206836563
321,2031,16.50583597998654,7.800475404343071,2.3087250945565705
322,2032,16.811734215409825,7.870686718426823,2.284180657803891
323,2033,17.118385252626485,7.941029350220466,2.4710136180163307
324,2034,17.46497905167741,8.079779061887047,2.788663131408481
325,2035,17.805347078497242,8.183693656800706,2.8574335564576625
326,2036,18.148533908215363,8.224482959914162,2.8412120777112664
327,2037,18.466880888566486,8.236049298254382,2.906470275924804
328,2038,18.788136549085515,8.258864607517644,2.937940561142794
329,2039,19.07241040956725,8.272947935213786,2.970648060802822
330,2040,19.32550388179666,8.24884369296538,2.962293179280135
331,2041,19.556397902634746,8.196101349542609,2.912729786301026
332,2042,19.713769471721157,8.423661424937391,2.8577764390850375
333,2043,19.885866237777197,8.445666210042114,2.7992728219564396
334,2044,20.04098003821122,8.437615498398857,2.709876316552982
335,2045,20.167615190004604,8.645795598211409,2.634223927920757
336,2046,20.265699794770534,9.002587590088796,2.567639160197862
337,2047,20.347311695020313,9.17375141154161,2.6276301699200104
338,2048,20.40817148021027,9.130787990556962,2.7882985165327945
339,2049,20.477297294923485,9.119813440155605,2.7924187842582326
340,2050,20.613274111420807,9.116788981291785,2.734617694052097
341,2051,20.747383442896485,9.155076237384216,2.6745814068916736
342,2052,20.936983162622763,9.184199710706768,2.6204199355188105
343,2053,21.1808039450161,9.197541890895344,2.5683585964143267
344,2054,21.36887916122824,9.18546061969406,2.521087186732786
345,2055,21.612541162306886,9.172773154797728,2.461980069603742
346,2056,21.923918458082483,9.14535337743847,2.414064771648417
347,2057,22.264921770996843,9.09301775026045,2.359191008359569
348,2058,22.63025031801348,8.997030483857388,2.311896522468627
